,"X,Y",Fixed,density
268,"(72.83284821, 18.96789163)",0,0.163333333
269,"(72.83569597, 18.96792493)",0,0.292222222
270,"(72.83854375, 18.96795819)",0,0.386666667
271,"(72.84139152, 18.96799141)",0,0.212222222
272,"(72.84423931, 18.96802458)",0,0.24
273,"(72.8470871, 18.96805771)",1,0.064444444
274,"(72.80441031, 18.96484687)",0,0.295555556
275,"(72.80725797, 18.9648806)",0,0.342222222
276,"(72.81010168, 18.9649143)",0,0.404444444
277,"(72.81294935, 18.96494794)",0,0.404444444
278,"(72.81579703, 18.96498155)",0,0.338888889
279,"(72.81864472, 18.96501511)",0,0.456
280,"(72.82149241, 18.96504863)",0,0.41
281,"(72.82434011, 18.965082100000004)",0,0.941111111
282,"(72.82718781, 18.96511553)",0,0.635555556
283,"(72.83003552, 18.96514892)",0,0.481111111
284,"(72.83288323, 18.96518226)",0,0.284444444
285,"(72.83573095, 18.96521556)",0,0.282666667
286,"(72.83857868, 18.96525331)",0,0.223333333
287,"(72.84142641, 18.96528202)",0,0.30111111100000004
288,"(72.84427415, 18.96531519)",1,0.234444444
289,"(72.8471219, 18.96534832)",0,0.164666667
290,"(72.80159422, 18.96210378)",0,0.194444444
291,"(72.81013707, 18.96220497)",0,0.318888889
292,"(72.81298469, 18.96223861)",1,0.448888889
293,"(72.81583233, 18.96227221)",0,0.512222222
294,"(72.81867997, 18.96230577)",0,0.577777778
295,"(72.82152761, 18.96233928)",0,0.817777778
296,"(72.82437526, 18.96237275)",0,0.653333333
297,"(72.82722292, 18.96240617)",0,0.7111111109999999
298,"(72.83007058, 18.96243956)",0,0.848888889
299,"(72.83291825, 18.96247289)",1,0.256
300,"(72.83576593, 18.96250619)",0,0.412222222
301,"(72.83861361, 18.96253944)",0,0.342222222
302,"(72.84715668, 18.96263892)",0,0.061111111
303,"(72.80162974, 18.95939447)",0,0.340888889
304,"(72.81017245, 18.95949564)",0,0.469777778
305,"(72.81302003, 18.95952928)",0,0.332222222
306,"(72.81586762, 18.95956288)",0,0.436444444
307,"(72.81871521, 18.95959643)",0,0.45
308,"(72.82156281, 18.95962993)",0,0.515777778
309,"(72.82441041, 18.9596634)",0,0.5722222220000001
310,"(72.82725802, 18.95969682)",0,0.823333333
311,"(72.83010564, 18.95973019)",0,0.493333333
312,"(72.83295326, 18.95976352)",0,0.206
313,"(72.83580089, 18.95979681)",0,0.476666667
314,"(72.83864853, 18.95983006)",1,0.21
315,"(72.84149617, 18.95986326)",0,0.048888889000000005
316,"(72.79881774, 18.95665135)",0,0.08866666699999999
317,"(72.80166525, 18.95668516)",0,0.161777778
318,"(72.80736029, 18.95675264)",0,0.15866666699999998
319,"(72.81020782, 18.95678632)",0,0.248888889
320,"(72.81305536, 18.95681995)",0,0.342888889
321,"(72.81590290000001, 18.95685354)",0,0.4246666670000001
322,"(72.81875045, 18.95688708)",0,0.7755555559999999
323,"(72.821598, 18.95692059)",0,0.371111111
324,"(72.82444556, 18.95695404)",0,0.481111111
325,"(72.82729312, 18.95698746)",0,0.6411111110000001
326,"(72.83014069, 18.95702083)",0,0.584444444
327,"(72.83298827, 18.95704516)",1,0.384444444
328,"(72.83583585, 18.95708744)",0,0.7644444440000001
329,"(72.84153104, 18.95715388)",0,0.12533333300000002
330,"(72.79600583, 18.95390819)",0,0.172666667
331,"(72.79885329, 18.95394204)",0,0.239555556
332,"(72.80170076, 18.95397584)",0,0.196
333,"(72.80739571, 18.95404332)",0,0.107333333
334,"(72.81593818, 18.954144199999998)",0,0.238
335,"(72.81878568, 18.95417774)",0,0.599555556
336,"(72.8216522, 18.95420524)",1,0.765777778
337,"(72.82450605, 18.95425668)",0,0.56
338,"(72.82732822, 18.954278100000003)",0,0.566666667
339,"(72.83017574, 18.95431147)",0,0.693333333
340,"(72.83302327, 18.95434479)",0,0.5477777779999999
341,"(72.83587081, 18.95437807)",0,0.72
342,"(72.83871835, 18.9544113)",0,0.428888889
343,"(72.8415659, 18.95444449)",0,0.211555556
344,"(72.79319402, 18.95116501)",0,0.118222222
345,"(72.79604143, 18.95119889)",0,0.15555555599999998
346,"(72.80173626, 18.95126653)",0,0.373333333
347,"(72.8188209, 18.9514684)",0,0.124222222
348,"(72.82166836, 18.95150189)",0,0.857777778
349,"(72.82451583, 18.95153534)",0,0.683333333
350,"(72.82736329999999, 18.95156874)",0,0.695555556
351,"(72.83021078, 18.951602100000002)",0,0.5882222220000001
352,"(72.83305827, 18.95163542)",0,0.679333333
353,"(72.83590576, 18.95166869)",0,0.653333333
354,"(72.83875326, 18.95170192)",0,0.344444444
355,"(72.84160076, 18.95173511)",0,0.114666667
356,"(72.79322965, 18.94845571)",0,0.153111111
357,"(72.79607701, 18.94848959)",0,0.300222222
