Index,FireTruck,Rescue_veh,Water truc,Ambulance,compact,X,Y,"X,Y",vehicles_list,potential
345,1,0,0,0,0.0489,72.8415,18.9598,"(72.8415, 18.9598)","[1, 0, 0, 0]",1
346,1,0,0,0,0.0887,72.7988,18.9566,"(72.7988, 18.9566)","[1, 0, 0, 0]",1
347,1,1,2,0,0.1618,72.8017,18.9567,"(72.8017, 18.9567)","[1, 1, 2, 0]",1
348,1,0,0,0,0.1587,72.8074,18.9568,"(72.8074, 18.9568)","[1, 0, 0, 0]",1
349,1,0,0,0,0.2489,72.8102,18.9568,"(72.8102, 18.9568)","[1, 0, 0, 0]",1
350,1,0,0,0,0.3429,72.813,18.9568,"(72.813, 18.9568)","[1, 0, 0, 0]",1
351,1,0,0,0,0.4247,72.8159,18.9568,"(72.8159, 18.9568)","[1, 0, 0, 0]",1
352,4,1,4,1,0.7756,72.8188,18.9569,"(72.8188, 18.9569)","[4, 1, 4, 1]",1
353,3,1,2,1,0.3711,72.8216,18.9569,"(72.8216, 18.9569)","[3, 1, 2, 1]",1
354,1,0,0,0,0.4811,72.8244,18.957,"(72.8244, 18.957)","[1, 0, 0, 0]",1
355,1,0,0,0,0.6411,72.8273,18.957,"(72.8273, 18.957)","[1, 0, 0, 0]",1
356,1,0,0,0,0.5844,72.8301,18.957,"(72.8301, 18.957)","[1, 0, 0, 0]",1
357,2,1,2,0,0.3844,72.833,18.9571,"(72.833, 18.9571)","[2, 1, 2, 0]",1
358,4,2,3,1,0.7644,72.8358,18.9571,"(72.8358, 18.9571)","[4, 2, 3, 1]",1
359,1,0,0,0,0.1253,72.8415,18.9571,"(72.8415, 18.9571)","[1, 0, 0, 0]",1
360,1,1,1,0,0.1727,72.796,18.9539,"(72.796, 18.9539)","[1, 1, 1, 0]",1
361,1,0,0,0,0.2396,72.7988,18.954,"(72.7988, 18.954)","[1, 0, 0, 0]",1
362,1,0,0,0,0.196,72.8017,18.954,"(72.8017, 18.954)","[1, 0, 0, 0]",1
363,1,0,0,0,0.1073,72.8074,18.954,"(72.8074, 18.954)","[1, 0, 0, 0]",1
364,1,0,0,0,0.238,72.8159,18.9541,"(72.8159, 18.9541)","[1, 0, 0, 0]",1
365,1,0,0,0,0.5996,72.8188,18.9542,"(72.8188, 18.9542)","[1, 0, 0, 0]",1
366,4,2,3,1,0.7658,72.8216,18.9542,"(72.8216, 18.9542)","[4, 2, 3, 1]",1
367,3,1,3,1,0.56,72.8245,18.9542,"(72.8245, 18.9542)","[3, 1, 3, 1]",1
368,1,0,0,0,0.5667,72.8273,18.9542,"(72.8273, 18.9542)","[1, 0, 0, 0]",1
369,4,1,3,1,0.6933,72.8302,18.9543,"(72.8302, 18.9543)","[4, 1, 3, 1]",1
370,1,0,0,0,0.5478,72.833,18.9543,"(72.833, 18.9543)","[1, 0, 0, 0]",1
371,3,2,3,1,0.72,72.8359,18.9544,"(72.8359, 18.9544)","[3, 2, 3, 1]",1
