FireTruck,Rescue_veh,Water truc,Ambulance,count,levbycount,Total,comp_norm,Type,HBcount,LBcount,MBcount,C_count,R_count,I_count,others,Special_Co,To_Bui_Co,MED_Pop,LOW_Pop,High_Pop,Tot_Pop,Arr,Pop_22_10,Pop_10_22,compact_1,srid,compact,Intensity,Avgres,Output lay,Output l_1,X,Y,X,Y,PopupInfo,level,count
1,0,0,0,1,1,1,505.611111111,RIC,0,55,45,35,45,20,TEXTILE Textile Textile Mills,0,100,1620,3520,0,5140,23950,1655,3025,7.94167,385,0.344444444,10,11,505.611111111,505.611,72.83875,18.9517,72.83875,18.9516999999999,LOW MED RISE,0,0
1,0,0,0,1,1,1,54.3999999999999,RIC,0,24,12,4,14,18,Textile Mills,0,36,432,1536,0,1968,8160,552,778,2.36667,386,0.114666667,1,19,54.4,54.4,72.8416,18.95175,72.8416,18.95175,LOW MED RISE,0,0
1,0,0,0,1,1,1,123.066666667,R,5,20,14,0,39,0,,0,39,504,1280,880,2664,10650,1199,647,5.06778,387,0.153111111,1,13,123.066666667,123.067,72.79322515,18.94844211,72.7932251499999,18.9484421099999,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,577.1,RC,20,0,31,10,41,0,,0,51,1116,0,3520,4636,19900,1541,1498,14.5406,388,0.300222222,5,9.5,577.1,577.1,72.79607455,18.94850788,72.79607455,18.94850788,MED HIGH RISE,0,0
1,0,0,0,2,1,1,19.5479999999999,R,4,0,5,0,9,0,,0,9,180,0,704,884,3620,319,198,2.73544,389,0.054444444,3,20.3299999999999,19.548,19.548,72.80177485,18.94855789,72.80177485,18.94855789,MED HIGH RISE,2,2
1,0,0,0,3,1,1,1472.67311111,RC,3,70,81,40,114,0,chawls,0,154,2916,4480,528,7924,39190,3634,4049,15.0337,390,0.572444444,9,12.67,1472.67311111,1472.67,72.82455,18.94885,72.82455,18.94885,LOW MED HIGH RISE,3,3
4,1,4,1,3,4,10,3669.31599999999,RC,1,82,150,35,198,0,chawl,0,233,5400,5248,176,1082,61110,6147,5193,24.274,391,0.908222222,28,14.83,3669.316,3669.32,72.8274,18.94885,72.8273999999999,18.94885,LOW MED HIGH RISE,12,3
4,1,4,1,4,4,10,3580.95111111,RIC,0,82,150,32,192,8,Textile Market,0,232,5400,5248,0,1064,60580,6002,5086,23.77,392,0.900444444,28,10.33,3580.95111111,3580.95,72.83025,18.9489,72.83025,18.9488999999999,LOW MED RISE,16,4
4,1,4,1,3,4,10,4334.09422222,RC,2,70,170,150,92,0,Temple and Masjid,0,242,6120,4480,352,1095,65360,3712,1002,27.3357999999999,393,0.98,29,12.75,4334.09422222,4334.09,72.8331,18.94895,72.8331,18.94895,LOW MED HIGH RISE,12,3
1,0,0,0,1,1,1,310.193333333,RIC,1,28,40,38,30,1,,0,69,1440,1792,176,3408,17850,1131,2636,7.00622,394,0.262888889,6,10.4,310.193333333,310.193,72.83592515,18.94894211,72.8359251499999,18.94894211,LOW MED HIGH RISE,1,1
