Index,"X,Y",vehicles_list,potential
377,"(72.81882515, 18.9514421)","[1, 0, 0, 0]",1
378,"(72.82167455, 18.95150788)","[4, 1, 4, 1]",1
379,"(72.82452515, 18.95154211)","[2, 2, 2, 0]",1
380,"(72.82737485, 18.9515579)","[3, 2, 3, 1]",1
381,"(72.83022545, 18.95159212)","[1, 0, 0, 0]",1
382,"(72.83307485, 18.95165789)","[3, 2, 3, 1]",1
383,"(72.8359, 18.95165)","[1, 0, 0, 0]",1
384,"(72.83875, 18.9517)","[1, 0, 0, 0]",1
385,"(72.8416, 18.95175)","[1, 0, 0, 0]",1
386,"(72.79322515, 18.94844211)","[1, 0, 0, 0]",1
387,"(72.79607455, 18.94850788)","[1, 0, 0, 0]",1
388,"(72.80177485, 18.94855789)","[1, 0, 0, 0]",0
389,"(72.82455, 18.94885)","[1, 0, 0, 0]",1
390,"(72.8274, 18.94885)","[4, 1, 4, 1]",1
391,"(72.83025, 18.9489)","[4, 1, 4, 1]",1
392,"(72.8331, 18.94895)","[4, 1, 4, 1]",1
393,"(72.83592515, 18.94894211)","[1, 0, 0, 0]",1
394,"(72.83877455, 18.94900788)","[1, 0, 0, 0]",1
395,"(72.84162515, 18.94904211)","[1, 0, 0, 0]",1
396,"(72.79327485, 18.94575789)","[1, 0, 0, 0]",1
397,"(72.79613393, 18.94576726)","[2, 1, 1, 0]",1
398,"(72.82456607, 18.94613274)","[1, 0, 0, 0]",1
399,"(72.82742515, 18.94614211)","[1, 0, 0, 0]",1
400,"(72.83028333, 18.94618333)","[1, 0, 0, 0]",1
401,"(72.83311667, 18.94621667)","[1, 0, 0, 0]",1
402,"(72.83597485, 18.94625789)","[1, 0, 0, 0]",1
403,"(72.82462545, 18.94339212)","[2, 1, 2, 0]",1
404,"(72.82747485, 18.94345789)","[3, 2, 3, 1]",1
405,"(72.83032515, 18.94344211)","[1, 0, 0, 0]",1
406,"(72.83317455, 18.94350788)","[1, 0, 0, 0]",1
407,"(72.83602515, 18.94354211)","[1, 0, 0, 0]",0
408,"(72.8275, 18.94075)","[1, 0, 0, 0]",1
409,"(72.8332, 18.9408)","[1, 0, 0, 0]",1
410,"(72.83605, 18.94085)","[1, 0, 0, 0]",1
411,"(72.8389, 18.94085)","[1, 0, 0, 0]",1
412,"(72.82752515, 18.93804211)","[1, 0, 0, 0]",1
413,"(72.83322545, 18.93809212)","[1, 0, 0, 0]",1
414,"(72.83607485, 18.93815789)","[1, 0, 0, 0]",1
415,"(72.83892515, 18.93814211)","[1, 0, 0, 0]",1
416,"(72.82473393, 18.93526726)","[2, 1, 1, 0]",1
417,"(72.82756607, 18.93533274)","[2, 4, 1, 0]",1
418,"(72.83328333, 18.93538333)","[1, 0, 0, 0]",1
419,"(72.83611667, 18.93541667)","[3, 2, 3, 1]",1
420,"(72.83897485, 18.93545789)","[1, 0, 0, 0]",1
421,"(72.84183393, 18.93546726)","[1, 0, 0, 0]",1
422,"(72.82477485, 18.93255789)","[1, 1, 1, 0]",1
423,"(72.83045, 18.93265)","[2, 1, 2, 0]",1
424,"(72.8333, 18.93265)","[3, 1, 3, 1]",1
425,"(72.83615, 18.9327)","[1, 0, 0, 0]",1
426,"(72.839, 18.93275)","[2, 1, 2, 0]",1
