Index,"X,Y",vehicles_list,potential
453,"(72.8193, 18.9135)","[2, 1, 1, 0]",1
454,"(72.8222, 18.9136)","[1, 0, 0, 0]",1
455,"(72.825, 18.9136)","[1, 0, 0, 0]",1
456,"(72.8108, 18.9108)","[1, 2, 2, 1]",1
457,"(72.8136, 18.9108)","[2, 2, 2, 1]",1
458,"(72.8165, 18.9108)","[3, 1, 3, 1]",1
459,"(72.8194, 18.9108)","[2, 1, 2, 0]",1
460,"(72.8222, 18.9108)","[1, 0, 0, 0]",1
461,"(72.8052, 18.908)","[1, 0, 0, 0]",1
462,"(72.8108, 18.908)","[1, 0, 0, 0]",1
463,"(72.8052, 18.9053)","[1, 0, 0, 0]",1
